ticker,price,mcap,sma200_ratio,dd_52w,fwd_pe,roe,rev_growth,gross_margin,debt_equity,fcf_yield,invested,under_alloc,score,z_fcf_yield,z_roe,z_rev_growth,z_gross_margin,z_dd_52w,z_fwd_pe,z_debt_equity,z_under_alloc
GOOGL,345.8999938964844,4230334382080.0,1.0446867598949425,14.036413769796185,23.456905,48.676,24.2,60.897,18.859,0.5357732725812543,100.0,-64.28571428571428,1.577291993277365,-0.9311362813446832,-0.1803618715796529,1.314634806153329,0.2720051463460915,1.4580692749783208,-0.5090694797888822,-0.7260759046779891,-1.8257418583505536
UNH,401.7300109863281,360590770176.0,1.1675221546602608,7.933996707444657,17.906046,14.152999,0.4,19.723,69.211,6.731245746571108,0.0,35.714285714285715,1.0895396622231512,1.9065696341499137,-0.7944336655109406,-1.9657393793332383,-1.315967903074103,0.27015827144984805,-1.299445584640913,0.04714825740616631,0.5477225575051661
BRK-B,504.0299987792969,1078981951488.0,1.0252824886729832,4.795811444685894,22.942574,12.1199995,10.0,30.332002000000003,17.142,6.670662819961032,0.0,35.714285714285715,0.8554214737487413,1.8926270971083048,-0.8125144756065985,-1.0271878762634705,-0.90680655714597,-0.4904714935186107,-0.6107942665149103,-0.7524427994646609,0.5477225575051661
MA,569.2899780273438,498703663104.0,1.0813337274476111,4.361314145537576,24.741121,241.202,14.099999999999998,100.0,439.583,3.401067920462194,100.0,-64.28571428571428,0.8068860623651785,0.38769986601826184,2.4219325685358903,-0.27999153401375293,1.7362347768838675,-0.5957844533532642,-0.25507623670193325,2.9618341812236704,-1.8257418583505536
AAPL,305.92999267578125,4464797286400.0,1.0926625010487951,9.964166062967783,32.17704,148.75101,16.400000000000002,48.653,78.445,2.412693534466309,0.0,35.714285714285715,0.7087848716596155,-0.06722851921536495,1.599704725712731,0.13916738968730924,-0.20021377863328532,0.7622284044859765,1.2156056284530412,0.18894901830315325,0.5477225575051661
MSFT,495.3999938964844,3678615371776.0,1.1485765132518189,8.030786432903014,21.015318,34.039003,17.7,67.944,29.118,0.4497752139825369,100.0,-64.28571428571428,0.2583100564515185,-0.9707194175386883,-0.44071487523529906,0.3760833030835608,0.5437894296137875,0.29361805472026964,-0.99196846283296,-0.5685348600557031,-1.8257418583505536
V,364.1499938964844,679885275136.0,1.1035734123137892,1.5233409515235996,24.315084,61.19,14.399999999999999,97.725,67.821,3.0010946720266167,0.0,35.714285714285715,0.25645750109496285,0.20360041278920687,0.042228697219859425,-0.22531863092231,1.692364389170372,-1.2836491594834503,-0.33933816717549425,0.025802897037224132,0.5477225575051661
LIN,482.739990234375,222533550080.0,1.019989047437366,11.68959876732748,24.662949,18.400997999999998,9.3,48.348,68.947,1.8697181070019446,0.0,35.714285714285715,-0.2427767996008568,-0.31714893190292115,-0.7188731322146518,-1.154757983476837,-0.21197682764657425,1.180436815557371,-0.2705371558920014,0.04309417457350397,0.5477225575051661
ASML,1844.0799560546875,708311121920.0,1.2945777393159998,7.186699648485828,31.023329,53.942,21.3,52.73300400000001,9.092,1.1912385316113943,0.0,35.714285714285715,-0.4641693474562934,-0.6294391146714828,-0.08669382496799939,1.0321581401808746,-0.04285873920241616,0.08902926257234703,0.9874237661533297,-0.8142522062883961,0.5477225575051661
AMZN,262.6499938964844,2833025073152.0,1.1049528259642925,7.524116591722995,25.246893,30.558002000000002,19.6,50.77,45.617,0.11362853871315826,0.0,35.714285714285715,-0.47277176767719803,-1.0480801152402308,-0.5026325668272498,0.7223450226626988,-0.1185666482689156,0.17081199645888737,-0.15504425567804603,-0.31517003938866933,0.5477225575051661
VWCE.DE,168.8800048828125,,1.1037865531884214,0.43626356306858405,,,,,,,0.0,35.714285714285715,-1.255489724025923,0.0,0.0,0.0,0.0,-1.5471337371135716,0.0,0.0,0.5477225575051661
VOO,713.6099853515625,,1.1049537306922972,0.18742944717661247,,,,,,,0.0,35.714285714285715,-1.2772020905454944,0.0,0.0,0.0,0.0,-1.5712585888019843,0.0,0.0,0.5477225575051661
COST,961.0999755859375,426227466240.0,1.0055305206088454,12.03413597925197,42.41705,29.152,21.5,12.876001,60.257,1.6316112214326735,0.0,35.714285714285715,-1.8402818915147545,-0.4267446301523166,-0.5276415795260873,1.0686067422418362,-1.4480032880428577,1.2639453520478623,2.2282442146187584,-0.09035271866830001,0.5477225575051661
